DFG TRAFFIC SIGN DATASET — MAPIRANJE YOLO KLASA

Format:
YOLO_ID | DFG_ŠIFRA | ZNAČENJE NA SRPSKOM | IZVORNI ENGLESKI OPIS

NAPOMENE:
- YOLO_ID je numerisan od 0 do 199 i odgovara redosledu klasa u modelu.
- Za pojedine DFG šifre izvorni katalog ne navodi značenje; one su označene kao NEPOZNATO.
- Kod nekoliko veoma sličnih dopunskih tabli konačno značenje treba proveriti vizuelno prema originalnom DFG uzorku.

000 | I-1          | Opasna krivina ulevo | Bend to the left.
001 | I-1.1        | Opasna krivina udesno | Bend to the right.
002 | I-10         | Neravan kolovoz | Uneven roadway.
003 | I-11         | Klizav kolovoz | Slippery roadway.
004 | I-13         | Odronjavanje kamenja sa desne strane puta | Falling rocks on right side of the road.
005 | I-13.1       | Odronjavanje kamenja sa leve strane puta | Falling rocks on left side of the road.
006 | I-14         | Nailazak na pešački prelaz | Pedestrian crossing ahead.
007 | I-15         | Deca na putu | Children near or in the road.
008 | I-16         | Biciklisti na putu | Cyclists on the road.
009 | I-17         | Domaće životinje na putu | Domestic animals on the road.
010 | I-18         | Divlje životinje na putu | Wild animals on the road.
011 | I-19         | Radovi na putu | Roadworks.
012 | I-2          | Dvostruka ili više uzastopnih krivina, prva ulevo | Double bend or more consecutive turns, first to the left.
013 | I-2.1        | Dvostruka ili više uzastopnih krivina, prva udesno | Double bend or more consecutive turns, first to the right.
014 | I-20         | Nailazak na semafor | Traffic signals ahead.
015 | I-25         | Ostale opasnosti | Other danger.
016 | I-27         | Ukrštanje sa sporednim putem | Crossing with minor road.
017 | I-28         | Spajanje sa sporednim putem sa leve strane | Crossing with minor road on left.
018 | I-28.1       | Spajanje sa sporednim putem sa desne strane | Crossing with minor road on right.
019 | I-29         | Spajanje sa sporednim putem sa leve strane pod uglom | Crossing with minor road on left, at an angle.
020 | I-29.1       | Spajanje sa sporednim putem sa desne strane pod uglom | Crossing with minor road on right, at an angle.
021 | I-3          | Opasna nizbrdica | Dangerous descent.
022 | I-30         | Nailazak na kružni tok | Roundabout ahead.
023 | I-32         | Poledica | Ice.
024 | I-34         | Neučvršćena bankina | Soft road shoulder.
025 | I-36         | Nailazak na pružni prelaz sa branikom ili polubranikom | Railway crossing ahead with gates or barriers.
026 | I-37         | Nailazak na pružni prelaz bez branika ili polubranika | Railway crossing ahead without gates or barriers.
027 | I-38         | Andrejin krst | St. Andrew's Cross.
028 | I-39-1       | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
029 | I-39-2       | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
030 | I-39-3       | NEPOZNATO — značenje nije navedeno u korišćenom DFG katalogu | Nije navedeno
031 | I-4          | Opasna uzbrdica | Dangerous ascent.
032 | I-5          | Suženje puta sa obe strane | Road narrows.
033 | I-5.1        | Suženje puta sa desne strane | Road narrows on the right side.
034 | I-5.2        | Suženje puta sa leve strane | Road narrows on the left side.
035 | I-8          | Neravan kolovoz | Uneven roadway.
036 | I-9          | Neravan kolovoz | Uneven roadway.
037 | II-1         | Ustupanje prvenstva prolaza | Give way to major road.
038 | II-10.1      | Zabrana saobraćaja za motorna vozila koja vuku prikolicu, osim poluprikolice | Road closed to motor vehicles towing a trailer, except for a semi-trailer.
039 | II-14        | Zabrana saobraćaja za bicikle | Road closed to bicycles.
040 | II-17        | Zabrana saobraćaja za pešake | Road closed to pedestrians.
041 | II-18        | Zabrana saobraćaja za sva motorna vozila | Road closed for all motor vehicles.
042 | II-19-4      | Radovi na putu | Roadworks.
043 | II-2         | Obavezno zaustavljanje — STOP | Stop.
044 | II-21        | Zabrana saobraćaja za vozila čija ukupna visina prelazi označenu vrednost | Road closed to motor vehicles exceeding the maximum height in metres.
045 | II-22        | Zabrana saobraćaja za vozila čija ukupna masa prelazi označenu vrednost | Road closed to motor vehicles exceeding the maximum weight in metric tonnes.
046 | II-23        | Zabrana saobraćaja za vozila čije osovinsko opterećenje prelazi označenu vrednost | Road closed to motor vehicles exceeding the maximum permissible weight per axle.
047 | II-26        | Zabranjeno skretanje ulevo | Left turn prohibited.
048 | II-26.1      | Zabranjeno skretanje udesno | Right turn prohibited.
049 | II-28        | Zabranjeno preticanje | No overtaking.
050 | II-3         | Zabrana saobraćaja u oba smera | Road closed to all traffic in both directions.
