id,naziv,tip_ulice,ogranicenje_brzine,duzina_km
1,Nepoznata ulica,tertiary,0,1.213502872415963
5,Манастирска,tertiary,0,0.08226224038268883
8,Манастирска,tertiary,0,0.35108800299445786
14,Манастирска,tertiary,0,0.15572184343873272
27,Манастирски пут,tertiary,0,0.9627804292563753
28,Партизански пут,tertiary,0,0.3582242105039563
48,Стојана Вукосављевића,tertiary,0,1.5173330272268177
75,Партизански пут,tertiary,0,2.0656402287218185
118,Иришки пут,primary,80,0.12009345925168656
119,Иришки пут,primary,80,0.04197842332217414
120,Иришки пут,primary,0,0.017336548199156056
122,Иришки пут,primary,0,0.05537165530920702
124,Иришки пут,primary,0,0.04664212632005604
126,Иришки пут,primary,0,0.05514247585824294
136,Иришки пут,primary,0,0.11770830287486884
142,Иришки пут,primary,0,0.4994323849020016
147,Иришки пут,primary,0,0.08711740111539966
151,Иришки пут,primary,0,0.26078934481060095
152,Nepoznata ulica,secondary,0,0.34596534888875885
153,Иришки пут,primary,0,0.27757159065571024
154,Nepoznata ulica,secondary,0,0.043546062118120746
155,Пут за Руму,primary,0,0.2872366364385167
156,Пут за Руму,primary,0,0.09242260067389586
157,Пут за Руму,primary,0,0.032348226005333706
158,Nepoznata ulica,secondary,30,0.07340286881658506
159,Пут за Руму,primary,0,0.05261770480869012
160,Nepoznata ulica,secondary,30,0.1802192390023108
162,Пут за Руму,primary,0,0.04116247730904098
167,Nepoznata ulica,secondary,30,0.037698977624155756
168,Пут за Руму,primary,0,0.03417957050232076
169,Пут за Руму,primary,0,0.028530648853442444
171,Пут за Руму,primary,0,0.05068838360327184
172,Пут за Руму,primary,0,0.4452888476121944
174,Nepoznata ulica,secondary,30,0.037639836406753814
175,Nepoznata ulica,secondary,0,0.40941210789204824
178,Nepoznata ulica,secondary,60,0.2235393937382559
180,Лоле Рибара,tertiary,0,0.34081344284334847
185,Пут за Руму,primary,0,0.09481620823637214
234,Пут за Руму,primary,0,0.1569721835130725
218,Пут за Руму,primary,0,0.08544444890892838
246,Пут за Руму,primary,0,0.4254686835959484
304,Пут за Руму,primary,0,0.12608829247868342
305,Пут за Руму,primary,0,0.05993811349224736
309,Пут за Руму,primary,0,0.06483372865470981
310,Пут за Руму,primary,0,0.1349178390812669
319,Пут за Руму,primary,0,0.15119967447507507
320,Пут за Руму,primary,60,0.07084877726328154
321,Пут за Руму,primary,60,0.20986420873122563
323,Пут за Руму,primary,0,0.0743590114467865
346,Лоле Рибара,tertiary,0,1.1674591999562758
357,Железничка,tertiary,0,0.2629285160846564
365,Трг Змај Јове,secondary,0,0.049979732673317394
366,Трг Змај Јове,secondary,0,0.04287758711762221
367,Лоле Рибара,tertiary,0,0.0070902622562442775
368,Трг Змај Јове,secondary,0,0.022532900638819128
369,Карађорђева,secondary,0,0.017131256416089598
376,Карађорђева,secondary,0,0.056950949210401634
