id,naziv,tip_ulice,ogranicenje_brzine,duzina_km
667,Обалска,service,0,0.12755786668449237
665,Стари београдски пут,secondary,80,0.07272870034016307
669,Nepoznata ulica,service,0,0.1497520363339472
670,Златних плодова,living_street,0,0.14019331226471948
2848,Горњокарловачки пут,residential,0,0.20969968698451652
666,Стари београдски пут,secondary,80,0.03539856318191499
668,Подунавска,unclassified,0,0.4052392525609455
2849,Доњокарловачки пут,service,0,0.19051231514868203
675,Стари београдски пут,secondary,80,0.18382450771161066
674,Студеничка,residential,0,0.4385841432315363
2850,Доњокарловачки пут,residential,0,0.3150121649067709
672,Стражиловачки пут,unclassified,0,0.5955241168018055
676,Nepoznata ulica,service,0,0.2849901341405775
677,Nepoznata ulica,residential,0,0.05164888471943304
673,Мала стаза,living_street,0,0.4471615270503292
678,Стари београдски пут,secondary,80,0.19924759678969056
680,Аласка,residential,0,0.17615691594119004
679,Зелени брег,service,0,0.3413603571847308
681,Стари београдски пут,secondary,80,0.19339820885383485
682,Стрма падина,residential,0,0.06539865288183289
648,Платана,residential,0,0.2037573944398918
649,Nepoznata ulica,service,0,0.03565268437610516
719,Пољарска,residential,0,0.2554378629510369
724,Nepoznata ulica,service,0,0.0862884779121865
720,Панорамска стаза,unclassified,0,1.211003626062156
725,Житна,residential,0,0.8556005931843139
727,Милоша Црњанског,residential,0,0.10979845531681948
728,Милоша Црњанског,residential,0,0.030304002357688056
729,Nepoznata ulica,service,0,0.12159065019089785
730,Nepoznata ulica,service,0,0.07553957583382231
721,Nepoznata ulica,service,0,0.13421767861841152
722,Беле Раде,service,0,0.0707219841140954
646,Доња Барања,residential,0,0.23820678002077084
647,Горња Барања,residential,0,0.03865402376016265
723,Nepoznata ulica,service,0,0.10949167387049927
760,Доња Барања,residential,0,0.4282233295775425
761,Горња Барања,residential,0,0.35557404750717486
726,Nepoznata ulica,residential,0,1.0756239816163709
763,Карађорђева,residential,0,0.22644264077588894
764,Nepoznata ulica,service,0,0.180625232045978
687,Nepoznata ulica,service,0,0.10158994761528889
683,Стрма падина,residential,0,0.2644491485521344
688,Зелени брег,residential,0,0.8721403831283765
671,Липовачки пут,unclassified,0,1.529237650405872
689,Подунавска,unclassified,0,1.405430402429305
684,Стражиловачки пут,unclassified,0,0.26370424404906895
690,Буџак,residential,0,0.18455767936291959
691,Стари београдски пут,secondary,80,0.24818350417098542
685,Nepoznata ulica,unclassified,0,0.03789837708296979
686,Nepoznata ulica,unclassified,0,0.04254853565611732
765,Кестењара,residential,0,0.35720967563386424
766,Пинкијева,residential,0,0.5399652400029932
772,Светозара Марковића,residential,0,0.06131370195907304
773,Видовданска,residential,0,0.110141422190825
774,Светозара Марковића,residential,0,0.1673400989880209
775,Милице Стојадиновић Српкиње,residential,0,0.1359793919662155
776,Видовданска,residential,0,0.10117402602649497
777,Доситеја Обрадовића,service,0,0.11069094184168371
779,Карађорђева,residential,0,0.23664921769889397
778,Школска,residential,0,0.3031245771754001
697,Белило,unclassified,0,0.033837146619675885
698,Nepoznata ulica,unclassified,0,0.11712750136613928
692,Стари београдски пут,secondary,80,0.0810428884376232
693,Стари београдски пут,secondary,80,0.1442834700262108
699,Nepoznata ulica,service,0,0.0963742349273894
700,Белило,unclassified,0,0.5012643836824481
701,Ешиковачка,residential,0,0.560381786854526
694,Стари београдски пут,secondary,0,0.03862496472916842
702,Nepoznata ulica,service,0,0.2096114294905826
695,Стари београдски пут,secondary,0,0.09609302927896968
703,Nepoznata ulica,service,0,0.06803331384658252
696,Nepoznata ulica,unclassified,0,0.12152247915989807
704,Nepoznata ulica,service,0,0.09071567788657245
705,Ћушилово,service,0,0.0864843059397069
709,Nepoznata ulica,secondary,0,0.027270071825438086
710,Nepoznata ulica,unclassified,0,0.008794862402534425
706,Nepoznata ulica,service,0,0.07763955232515789
711,Генерала Ђорђа Стратимировића,secondary,0,0.04654298319320898
712,Nepoznata ulica,unclassified,0,0.12150218571557979
713,Генерала Ђорђа Стратимировића,secondary,0,0.05811376835412022
780,Видовданска,residential,0,0.12336640938281039
781,Вука Караџића,residential,0,0.09693708369329597
782,Косовска,residential,0,0.1876466844683103
783,Доситеја Обрадовића,residential,0,0.26383019544526287
784,Видовданска,residential,0,0.011440127182820291
785,Брњица,residential,0,0.0666335604464563
786,Лазе Костића,residential,0,0.10932727988788402
787,Нова 2,residential,0,0.1656600304723454
789,Карађорђева,tertiary,0,0.007953780950567379
788,Партизански пут,residential,0,0.4601508904329347
732,Милоша Црњанског,residential,0,0.15820079189638836
731,Мале ливаде,service,0,0.12437118539664015
734,Nepoznata ulica,service,0,0.2156547306651358
733,Панорамска стаза,unclassified,0,0.08485148486640623
736,Гаврила Принципа,residential,0,0.317517775319581
737,Панетов брег,residential,0,0.0870671122605657
738,Војводе Шупљикца,residential,0,0.1008552372962544
739,Доситеја Обрадовића,residential,0,0.5400193381767138
741,Nepoznata ulica,service,0,0.08902338446696169
742,Гаврила Принципа,residential,0,0.1956972703559504
707,Ешиковачка,residential,0,0.09167666489003007
714,Nepoznata ulica,unclassified,0,0.019321580719249228
715,Генерала Ђорђа Стратимировића,secondary,0,0.06528881956068516
716,Nepoznata ulica,unclassified,0,0.06987500436078867
708,Јована Дучића,residential,0,0.17313789487004286
717,Генерала Ђорђа Стратимировића,secondary,0,0.016634319555013315
718,Генерала Ђорђа Стратимировића,secondary,0,0.01078899280410541
740,Nepoznata ulica,residential,0,0.25108714076874605
2823,Nepoznata ulica,service,0,0.12022344682369285
2814,Митрополита Стратимировића,service,0,0.11559288852013266
790,Петра Кочића,residential,0,0.3232355306954204
791,Бранка Радичевића,residential,0,0.3407334318265355
792,Видовданска,residential,0,0.24531876692604337
793,Стражиловска,residential,0,0.11733045303089448
794,Бранка Радичевића,residential,0,0.25195322206475257
795,Светозара Милетића,residential,0,0.12561503750447842
796,Карађорђева,tertiary,0,0.4918584832400201
797,Карађорђева,tertiary,0,0.4978950533143394
798,Видовданска,residential,0,0.15677547308177883
799,Краља Петра I,residential,0,0.5421934642482151
743,Nepoznata ulica,residential,0,0.025530898559777377
745,Nepoznata ulica,residential,0,0.014074895562098224
744,Панорамска стаза,unclassified,0,0.6098088910272288
746,Nepoznata ulica,residential,0,0.14956318710842542
747,Nepoznata ulica,service,0,0.17266452646465036
748,Карловачких ђака,residential,0,1.0274816849819355
749,Nepoznata ulica,service,0,0.06787978836350947
750,Nepoznata ulica,residential,0,0.06431296525956474
751,Nepoznata ulica,service,0,0.2267283738553087
735,Карловачких виноградара,residential,0,0.20421856102835398
2824,Виноградарска,residential,0,0.16689631200975102
2815,Nepoznata ulica,service,0,0.19940277347429167
2816,Митрополита Стратимировића,service,0,0.009590219508898006
2817,Генерала Ђорђа Стратимировића,secondary,50,0.22046008173740575
2825,Nepoznata ulica,service,0,0.12616232276160483
2826,Виноградарска,service,0,0.11601857655677464
2851,Nepoznata ulica,unclassified,0,3.177245836616583
2818,Митрополита Стратимировића,service,0,0.062086491619421084
2828,Nepoznata ulica,service,0,0.020469735899402503
2827,Белило,residential,0,0.5677533240810723
2820,Nepoznata ulica,service,0,0.045588122601937286
2819,Nepoznata ulica,service,0,0.11394408706099846
2821,Митрополита Стратимировића,tertiary,40,0.00730119693281809
2829,Карловачког мира,residential,0,0.13147435875330354
2830,Андреја Волног,residential,0,0.12338919685859262
2822,Генерала Ђорђа Стратимировића,secondary,0,0.11130399502974277
2831,Андреја Волног,residential,0,0.22289030984897026
2832,Гробљанска,service,0,0.09560099958996289
810,Воросово,residential,0,0.16263595427400754
2833,Карловачког мира,residential,0,0.08203476634373
2834,Карловачког мира,residential,0,0.10508552127126801
2835,Митрополита Стратимировића,tertiary,40,0.45882714962697485
2836,Nepoznata ulica,service,0,0.06722006623731656
2837,Јована Живановића,residential,0,0.514380613034048
2838,Генерала Ђорђа Стратимировића,secondary,0,0.1612850487849798
2840,Виноградарска,residential,0,0.5669349553646275
2839,Андреја Волног,residential,0,0.25023573910336544
2841,Гробљанска,service,0,0.09472202359941516
2842,Воросово,residential,0,0.015313850428406628
2843,Виноградска,residential,0,0.16446570033337884
752,Ратарска,residential,0,0.776830864199916
753,Nepoznata ulica,service,0,0.0604493401827226
754,Nepoznata ulica,service,0,0.2699195808568938
755,Nepoznata ulica,service,0,0.33190613986172646
811,Доситеја Обрадовића,residential,0,0.11201873633245737
812,Карловачки извори,residential,0,0.6374292340920986
813,Чератска,residential,0,0.07044269870361936
836,Воћарска,residential,0,0.5698449600009867
833,Људевита Гаја,residential,0,0.15224642658612653
834,Бећарске стазе,residential,0,0.5503688531812436
2844,Nepoznata ulica,residential,0,0.06914269803574115
2845,Ивана Филиповића,residential,0,0.5184217366794518
2846,Матошева,service,0,0.07769511488179848
2847,Матошева,service,0,0.050884198320612486
814,Стражиловска,residential,0,0.09877994012827829
815,Матошева,residential,0,0.6113202156961989
816,Сремска,residential,0,0.4080099515695576
817,Сремска,residential,0,0.11929858015860027
818,Карловачког мира,residential,0,0.5152703459125635
820,Nepoznata ulica,service,0,0.41660595626830976
819,Људевита Гаја,residential,0,0.05497340632059942
821,Митрополита Стратимировића,tertiary,0,0.38553300948786623
822,Матошева,service,0,0.05264143693467269
831,Људевита Гаја,residential,0,0.02791079018269703
832,Људевита Гаја,residential,0,0.02084780164650812
823,Београдска,residential,0,0.15979020759244578
824,Београдска,residential,0,0.1169070276907493
826,Митрополита Стратимировића,residential,0,0.0965619487412809
825,Ивана Филиповића,residential,0,0.04605130524142295
827,Nepoznata ulica,residential,0,0.06994091845511474
2623,Нова 1,residential,0,0.36155056746387565
2624,Светозара Милетића,residential,0,0.6033731793054743
2625,Карађорђева,tertiary,50,0.13379294576339737
2632,Карађорђева,tertiary,50,0.1667203760567718
2636,Карађорђева,tertiary,0,0.005502371868806291
2637,Трг жртава геноцида,residential,0,0.18208151975482384
2638,Ђуре Јакшића,residential,0,0.21982389775685426
2639,Nepoznata ulica,residential,0,0.6235276424382756
2640,22. августа,residential,0,0.8718181753867231
2641,Nepoznata ulica,service,0,0.05792471282111498
835,Сарајевска,residential,0,0.03697036458416476
2559,Сарајевска,residential,0,0.04758382990455621
