znak_id,tip_znaka,stanje,ulica_id,naziv_ulice,tip_ulice
1,stop,dobro,159,Пут за Руму,primary
1,stop,dobro,160,Nepoznata ulica,secondary
1,stop,dobro,162,Пут за Руму,primary
1,stop,dobro,167,Nepoznata ulica,secondary
1,stop,dobro,168,Пут за Руму,primary
1,stop,dobro,169,Пут за Руму,primary
1,stop,dobro,171,Пут за Руму,primary
1,stop,dobro,172,Пут за Руму,primary
2,stop,dobro,160,Nepoznata ulica,secondary
2,stop,dobro,162,Пут за Руму,primary
2,stop,dobro,167,Nepoznata ulica,secondary
2,stop,dobro,168,Пут за Руму,primary
2,stop,dobro,169,Пут за Руму,primary
2,stop,dobro,171,Пут за Руму,primary
2,stop,dobro,172,Пут за Руму,primary
3,stop,dobro,167,Nepoznata ulica,secondary
3,stop,dobro,168,Пут за Руму,primary
3,stop,dobro,169,Пут за Руму,primary
3,stop,dobro,171,Пут за Руму,primary
3,stop,dobro,172,Пут за Руму,primary
4,stop,dobro,172,Пут за Руму,primary
4,stop,dobro,185,Пут за Руму,primary
4,stop,dobro,309,Пут за Руму,primary
4,stop,dobro,310,Пут за Руму,primary
5,pedestrian_crossing,dobro,357,Железничка,tertiary
5,pedestrian_crossing,dobro,481,Моше Пијаде,tertiary
5,pedestrian_crossing,dobro,488,Железничка,tertiary
5,pedestrian_crossing,dobro,489,Железничка,tertiary
5,pedestrian_crossing,dobro,491,Железничка,tertiary
6,stop,dobro,136,Иришки пут,primary
6,stop,dobro,142,Иришки пут,primary
6,stop,dobro,860,Иришки пут,primary
7,pedestrian_crossing,dobro,136,Иришки пут,primary
7,pedestrian_crossing,dobro,142,Иришки пут,primary
7,pedestrian_crossing,dobro,860,Иришки пут,primary
8,pedestrian_crossing,dobro,142,Иришки пут,primary
8,pedestrian_crossing,dobro,147,Иришки пут,primary
8,pedestrian_crossing,dobro,151,Иришки пут,primary
9,pedestrian_crossing,dobro,319,Пут за Руму,primary
9,pedestrian_crossing,dobro,320,Пут за Руму,primary
10,pedestrian_crossing,dobro,357,Железничка,tertiary
10,pedestrian_crossing,dobro,481,Моше Пијаде,tertiary
10,pedestrian_crossing,dobro,488,Железничка,tertiary
10,pedestrian_crossing,dobro,489,Железничка,tertiary
10,pedestrian_crossing,dobro,491,Железничка,tertiary
11,stop,dobro,151,Иришки пут,primary
11,stop,dobro,153,Иришки пут,primary
12,stop,dobro,152,Nepoznata ulica,secondary
12,stop,dobro,153,Иришки пут,primary
12,stop,dobro,154,Nepoznata ulica,secondary
12,stop,dobro,155,Пут за Руму,primary
13,pedestrian_crossing,dobro,346,Лоле Рибара,tertiary
14,pedestrian_crossing,dobro,346,Лоле Рибара,tertiary
14,pedestrian_crossing,dobro,365,Трг Змај Јове,secondary
14,pedestrian_crossing,dobro,366,Трг Змај Јове,secondary
14,pedestrian_crossing,dobro,367,Лоле Рибара,tertiary
14,pedestrian_crossing,dobro,368,Трг Змај Јове,secondary
14,pedestrian_crossing,dobro,369,Карађорђева,secondary
14,pedestrian_crossing,dobro,376,Карађорђева,secondary
14,pedestrian_crossing,dobro,2185,Карађорђева,secondary
15,pedestrian_crossing,dobro,346,Лоле Рибара,tertiary
15,pedestrian_crossing,dobro,365,Трг Змај Јове,secondary
15,pedestrian_crossing,dobro,366,Трг Змај Јове,secondary
15,pedestrian_crossing,dobro,367,Лоле Рибара,tertiary
15,pedestrian_crossing,dobro,368,Трг Змај Јове,secondary
15,pedestrian_crossing,dobro,369,Карађорђева,secondary
15,pedestrian_crossing,dobro,376,Карађорђева,secondary
15,pedestrian_crossing,dobro,2185,Карађорђева,secondary
16,stop,dobro,346,Лоле Рибара,tertiary
16,stop,dobro,365,Трг Змај Јове,secondary
16,stop,dobro,366,Трг Змај Јове,secondary
16,stop,dobro,367,Лоле Рибара,tertiary
16,stop,dobro,368,Трг Змај Јове,secondary
16,stop,dobro,369,Карађорђева,secondary
16,stop,dobro,376,Карађорђева,secondary
16,stop,dobro,2185,Карађорђева,secondary
18,stop,dobro,357,Железничка,tertiary
18,stop,dobro,481,Моше Пијаде,tertiary
18,stop,dobro,488,Железничка,tertiary
18,stop,dobro,489,Железничка,tertiary
18,stop,dobro,491,Железничка,tertiary
19,pedestrian_crossing,dobro,357,Железничка,tertiary
19,pedestrian_crossing,dobro,481,Моше Пијаде,tertiary
19,pedestrian_crossing,dobro,488,Железничка,tertiary
19,pedestrian_crossing,dobro,489,Железничка,tertiary
19,pedestrian_crossing,dobro,491,Железничка,tertiary
20,pedestrian_crossing,dobro,357,Железничка,tertiary
20,pedestrian_crossing,dobro,481,Моше Пијаде,tertiary
20,pedestrian_crossing,dobro,488,Железничка,tertiary
