semafor_id,status,raskrsnica_id,naziv_raskrsnice,tip_raskrsnice
1,aktivan,1,Raskrsnica sa semaforom,kontrolisana raskrsnica
1,aktivan,2,Raskrsnica sa semaforom,kontrolisana raskrsnica
1,aktivan,3,Raskrsnica sa semaforom,kontrolisana raskrsnica
2,aktivan,1,Raskrsnica sa semaforom,kontrolisana raskrsnica
2,aktivan,2,Raskrsnica sa semaforom,kontrolisana raskrsnica
2,aktivan,3,Raskrsnica sa semaforom,kontrolisana raskrsnica
3,aktivan,1,Raskrsnica sa semaforom,kontrolisana raskrsnica
3,aktivan,2,Raskrsnica sa semaforom,kontrolisana raskrsnica
3,aktivan,3,Raskrsnica sa semaforom,kontrolisana raskrsnica
4,aktivan,4,Raskrsnica sa semaforom,kontrolisana raskrsnica
5,aktivan,5,Raskrsnica sa semaforom,kontrolisana raskrsnica
5,aktivan,6,Raskrsnica sa semaforom,kontrolisana raskrsnica
5,aktivan,7,Raskrsnica sa semaforom,kontrolisana raskrsnica
6,aktivan,5,Raskrsnica sa semaforom,kontrolisana raskrsnica
6,aktivan,6,Raskrsnica sa semaforom,kontrolisana raskrsnica
6,aktivan,8,Raskrsnica sa semaforom,kontrolisana raskrsnica
7,aktivan,5,Raskrsnica sa semaforom,kontrolisana raskrsnica
7,aktivan,7,Raskrsnica sa semaforom,kontrolisana raskrsnica
7,aktivan,8,Raskrsnica sa semaforom,kontrolisana raskrsnica
8,aktivan,6,Raskrsnica sa semaforom,kontrolisana raskrsnica
8,aktivan,7,Raskrsnica sa semaforom,kontrolisana raskrsnica
8,aktivan,8,Raskrsnica sa semaforom,kontrolisana raskrsnica
9,aktivan,9,Raskrsnica sa semaforom,kontrolisana raskrsnica
9,aktivan,10,Raskrsnica sa semaforom,kontrolisana raskrsnica
10,aktivan,9,Raskrsnica sa semaforom,kontrolisana raskrsnica
10,aktivan,10,Raskrsnica sa semaforom,kontrolisana raskrsnica
11,aktivan,11,Raskrsnica sa semaforom,kontrolisana raskrsnica
11,aktivan,12,Raskrsnica sa semaforom,kontrolisana raskrsnica
12,aktivan,11,Raskrsnica sa semaforom,kontrolisana raskrsnica
12,aktivan,12,Raskrsnica sa semaforom,kontrolisana raskrsnica
13,aktivan,13,Raskrsnica sa semaforom,kontrolisana raskrsnica
