znak_id,tip_znaka,stanje,ulica_id,najbliza_ulica,tip_ulice,udaljenost_m
1,stop,dobro,167,Nepoznata ulica,secondary,0.0
2,stop,dobro,170,Nepoznata ulica,residential,0.0
3,stop,dobro,335,Шљукина,residential,0.0
4,stop,dobro,186,Нова 10,residential,0.0
5,pedestrian_crossing,dobro,357,Железничка,tertiary,0.0
6,stop,dobro,135,Nepoznata ulica,residential,0.0
7,pedestrian_crossing,dobro,136,Иришки пут,primary,0.0
8,pedestrian_crossing,dobro,147,Иришки пут,primary,0.0
9,pedestrian_crossing,dobro,295,Nepoznata ulica,residential,0.0
10,pedestrian_crossing,dobro,478,Марка Орешковића,residential,0.0
11,stop,dobro,116,Горска,residential,0.0
12,stop,dobro,154,Nepoznata ulica,secondary,0.0
13,pedestrian_crossing,dobro,346,Лоле Рибара,tertiary,0.0
14,pedestrian_crossing,dobro,369,Карађорђева,secondary,0.0
15,pedestrian_crossing,dobro,380,Вука Караџића,residential,0.0
16,stop,dobro,380,Вука Караџића,residential,0.0
17,pedestrian_crossing,dobro,3342,Nepoznata ulica,service,0.0
18,stop,dobro,479,Nepoznata ulica,service,0.0
19,pedestrian_crossing,dobro,479,Nepoznata ulica,service,0.0
20,pedestrian_crossing,dobro,482,Железничка,residential,0.0
21,stop,dobro,482,Железничка,residential,0.0
22,pedestrian_crossing,dobro,481,Моше Пијаде,tertiary,0.0
23,stop,dobro,490,Седме војвођанске бригаде,residential,0.0
24,pedestrian_crossing,dobro,490,Седме војвођанске бригаде,residential,0.0
25,pedestrian_crossing,dobro,483,Гајева,residential,0.0
26,stop,dobro,484,Петра Кочића,residential,0.0
27,stop,dobro,515,Гајева,residential,0.0
28,pedestrian_crossing,dobro,494,Трг Змај Јове,tertiary,0.0
29,pedestrian_crossing,dobro,366,Трг Змај Јове,secondary,0.0
30,pedestrian_crossing,dobro,511,Nepoznata ulica,service,0.0
30,pedestrian_crossing,dobro,385,Nepoznata ulica,service,0.0
31,pedestrian_crossing,dobro,3383,Nepoznata ulica,service,0.0
32,pedestrian_crossing,dobro,3380,Nepoznata ulica,service,0.0
33,pedestrian_crossing,dobro,3382,Nepoznata ulica,service,0.0
34,pedestrian_crossing,dobro,3380,Nepoznata ulica,service,0.0
35,pedestrian_crossing,dobro,3382,Nepoznata ulica,service,0.0
