znak_id,tip_znaka,stanje,semafor_id,status
28,pedestrian_crossing,dobro,1,aktivan
28,pedestrian_crossing,dobro,2,aktivan
28,pedestrian_crossing,dobro,3,aktivan
29,pedestrian_crossing,dobro,1,aktivan
29,pedestrian_crossing,dobro,2,aktivan
29,pedestrian_crossing,dobro,3,aktivan
252,pedestrian_crossing,dobro,4,aktivan
287,pedestrian_crossing,dobro,5,aktivan
287,pedestrian_crossing,dobro,6,aktivan
287,pedestrian_crossing,dobro,7,aktivan
287,pedestrian_crossing,dobro,8,aktivan
288,pedestrian_crossing,dobro,5,aktivan
288,pedestrian_crossing,dobro,6,aktivan
288,pedestrian_crossing,dobro,7,aktivan
288,pedestrian_crossing,dobro,8,aktivan
289,pedestrian_crossing,dobro,5,aktivan
289,pedestrian_crossing,dobro,6,aktivan
289,pedestrian_crossing,dobro,7,aktivan
289,pedestrian_crossing,dobro,8,aktivan
290,pedestrian_crossing,dobro,5,aktivan
290,pedestrian_crossing,dobro,6,aktivan
290,pedestrian_crossing,dobro,7,aktivan
290,pedestrian_crossing,dobro,8,aktivan
291,pedestrian_crossing,dobro,5,aktivan
291,pedestrian_crossing,dobro,6,aktivan
291,pedestrian_crossing,dobro,7,aktivan
291,pedestrian_crossing,dobro,8,aktivan
292,pedestrian_crossing,dobro,5,aktivan
292,pedestrian_crossing,dobro,6,aktivan
292,pedestrian_crossing,dobro,7,aktivan
292,pedestrian_crossing,dobro,8,aktivan
313,pedestrian_crossing,dobro,5,aktivan
313,pedestrian_crossing,dobro,6,aktivan
313,pedestrian_crossing,dobro,7,aktivan
313,pedestrian_crossing,dobro,8,aktivan
314,pedestrian_crossing,dobro,5,aktivan
314,pedestrian_crossing,dobro,6,aktivan
314,pedestrian_crossing,dobro,8,aktivan
315,pedestrian_crossing,dobro,5,aktivan
315,pedestrian_crossing,dobro,6,aktivan
315,pedestrian_crossing,dobro,7,aktivan
315,pedestrian_crossing,dobro,8,aktivan
316,pedestrian_crossing,dobro,5,aktivan
316,pedestrian_crossing,dobro,6,aktivan
316,pedestrian_crossing,dobro,7,aktivan
316,pedestrian_crossing,dobro,8,aktivan
317,pedestrian_crossing,dobro,5,aktivan
317,pedestrian_crossing,dobro,6,aktivan
317,pedestrian_crossing,dobro,7,aktivan
317,pedestrian_crossing,dobro,8,aktivan
318,pedestrian_crossing,dobro,5,aktivan
318,pedestrian_crossing,dobro,6,aktivan
318,pedestrian_crossing,dobro,7,aktivan
318,pedestrian_crossing,dobro,8,aktivan
361,pedestrian_crossing,dobro,9,aktivan
361,pedestrian_crossing,dobro,10,aktivan
362,pedestrian_crossing,dobro,9,aktivan
362,pedestrian_crossing,dobro,10,aktivan
363,stop,dobro,9,aktivan
363,stop,dobro,10,aktivan
370,pedestrian_crossing,dobro,11,aktivan
370,pedestrian_crossing,dobro,12,aktivan
382,pedestrian_crossing,dobro,13,aktivan
382,pedestrian_crossing,dobro,14,aktivan
383,pedestrian_crossing,dobro,13,aktivan
383,pedestrian_crossing,dobro,14,aktivan
384,pedestrian_crossing,dobro,13,aktivan
384,pedestrian_crossing,dobro,14,aktivan
385,pedestrian_crossing,dobro,13,aktivan
385,pedestrian_crossing,dobro,14,aktivan
391,pedestrian_crossing,dobro,13,aktivan
391,pedestrian_crossing,dobro,14,aktivan
398,pedestrian_crossing,dobro,15,aktivan
398,pedestrian_crossing,dobro,16,aktivan
398,pedestrian_crossing,dobro,17,aktivan
399,pedestrian_crossing,dobro,15,aktivan
399,pedestrian_crossing,dobro,16,aktivan
399,pedestrian_crossing,dobro,17,aktivan
400,pedestrian_crossing,dobro,15,aktivan
400,pedestrian_crossing,dobro,16,aktivan
400,pedestrian_crossing,dobro,17,aktivan
414,pedestrian_crossing,dobro,18,aktivan
414,pedestrian_crossing,dobro,19,aktivan
414,pedestrian_crossing,dobro,20,aktivan
415,pedestrian_crossing,dobro,18,aktivan
415,pedestrian_crossing,dobro,19,aktivan
415,pedestrian_crossing,dobro,20,aktivan
416,pedestrian_crossing,dobro,18,aktivan
416,pedestrian_crossing,dobro,19,aktivan
416,pedestrian_crossing,dobro,20,aktivan
417,pedestrian_crossing,dobro,18,aktivan
417,pedestrian_crossing,dobro,19,aktivan
417,pedestrian_crossing,dobro,20,aktivan
420,pedestrian_crossing,dobro,19,aktivan
420,pedestrian_crossing,dobro,20,aktivan
434,pedestrian_crossing,dobro,22,aktivan
434,pedestrian_crossing,dobro,23,aktivan
434,pedestrian_crossing,dobro,24,aktivan
435,pedestrian_crossing,dobro,22,aktivan
435,pedestrian_crossing,dobro,23,aktivan
435,pedestrian_crossing,dobro,24,aktivan
443,pedestrian_crossing,dobro,22,aktivan
443,pedestrian_crossing,dobro,23,aktivan
443,pedestrian_crossing,dobro,24,aktivan
444,pedestrian_crossing,dobro,22,aktivan
444,pedestrian_crossing,dobro,23,aktivan
444,pedestrian_crossing,dobro,24,aktivan
445,pedestrian_crossing,dobro,22,aktivan
445,pedestrian_crossing,dobro,23,aktivan
445,pedestrian_crossing,dobro,25,aktivan
446,pedestrian_crossing,dobro,22,aktivan
446,pedestrian_crossing,dobro,23,aktivan
446,pedestrian_crossing,dobro,25,aktivan
447,pedestrian_crossing,dobro,23,aktivan
447,pedestrian_crossing,dobro,25,aktivan
448,pedestrian_crossing,dobro,22,aktivan
448,pedestrian_crossing,dobro,23,aktivan
448,pedestrian_crossing,dobro,25,aktivan
449,pedestrian_crossing,dobro,22,aktivan
449,pedestrian_crossing,dobro,23,aktivan
449,pedestrian_crossing,dobro,25,aktivan
450,pedestrian_crossing,dobro,22,aktivan
450,pedestrian_crossing,dobro,23,aktivan
450,pedestrian_crossing,dobro,24,aktivan
450,pedestrian_crossing,dobro,25,aktivan
451,pedestrian_crossing,dobro,22,aktivan
451,pedestrian_crossing,dobro,24,aktivan
451,pedestrian_crossing,dobro,25,aktivan
452,pedestrian_crossing,dobro,22,aktivan
452,pedestrian_crossing,dobro,23,aktivan
452,pedestrian_crossing,dobro,24,aktivan
452,pedestrian_crossing,dobro,25,aktivan
453,pedestrian_crossing,dobro,22,aktivan
453,pedestrian_crossing,dobro,24,aktivan
453,pedestrian_crossing,dobro,25,aktivan
454,pedestrian_crossing,dobro,23,aktivan
454,pedestrian_crossing,dobro,24,aktivan
454,pedestrian_crossing,dobro,25,aktivan
455,pedestrian_crossing,dobro,23,aktivan
455,pedestrian_crossing,dobro,24,aktivan
455,pedestrian_crossing,dobro,25,aktivan
456,pedestrian_crossing,dobro,22,aktivan
456,pedestrian_crossing,dobro,23,aktivan
456,pedestrian_crossing,dobro,24,aktivan
456,pedestrian_crossing,dobro,25,aktivan
457,pedestrian_crossing,dobro,23,aktivan
457,pedestrian_crossing,dobro,24,aktivan
457,pedestrian_crossing,dobro,25,aktivan
458,pedestrian_crossing,dobro,26,aktivan
459,pedestrian_crossing,dobro,26,aktivan
460,pedestrian_crossing,dobro,26,aktivan
461,pedestrian_crossing,dobro,26,aktivan
462,pedestrian_crossing,dobro,26,aktivan
463,pedestrian_crossing,dobro,26,aktivan
491,pedestrian_crossing,dobro,27,aktivan
491,pedestrian_crossing,dobro,28,aktivan
491,pedestrian_crossing,dobro,30,aktivan
491,pedestrian_crossing,dobro,31,aktivan
492,pedestrian_crossing,dobro,27,aktivan
492,pedestrian_crossing,dobro,28,aktivan
492,pedestrian_crossing,dobro,30,aktivan
492,pedestrian_crossing,dobro,31,aktivan
493,pedestrian_crossing,dobro,27,aktivan
493,pedestrian_crossing,dobro,28,aktivan
493,pedestrian_crossing,dobro,30,aktivan
493,pedestrian_crossing,dobro,31,aktivan
494,pedestrian_crossing,dobro,27,aktivan
494,pedestrian_crossing,dobro,28,aktivan
494,pedestrian_crossing,dobro,30,aktivan
494,pedestrian_crossing,dobro,31,aktivan
495,pedestrian_crossing,dobro,27,aktivan
495,pedestrian_crossing,dobro,28,aktivan
495,pedestrian_crossing,dobro,31,aktivan
496,pedestrian_crossing,dobro,27,aktivan
496,pedestrian_crossing,dobro,28,aktivan
496,pedestrian_crossing,dobro,30,aktivan
496,pedestrian_crossing,dobro,31,aktivan
497,pedestrian_crossing,dobro,27,aktivan
497,pedestrian_crossing,dobro,28,aktivan
497,pedestrian_crossing,dobro,31,aktivan
498,pedestrian_crossing,dobro,27,aktivan
498,pedestrian_crossing,dobro,28,aktivan
498,pedestrian_crossing,dobro,30,aktivan
498,pedestrian_crossing,dobro,31,aktivan
499,pedestrian_crossing,dobro,27,aktivan
499,pedestrian_crossing,dobro,28,aktivan
499,pedestrian_crossing,dobro,30,aktivan
499,pedestrian_crossing,dobro,31,aktivan
500,pedestrian_crossing,dobro,27,aktivan
500,pedestrian_crossing,dobro,30,aktivan
500,pedestrian_crossing,dobro,31,aktivan
501,pedestrian_crossing,dobro,27,aktivan
501,pedestrian_crossing,dobro,28,aktivan
501,pedestrian_crossing,dobro,30,aktivan
501,pedestrian_crossing,dobro,31,aktivan
502,pedestrian_crossing,dobro,27,aktivan
502,pedestrian_crossing,dobro,30,aktivan
502,pedestrian_crossing,dobro,31,aktivan
516,pedestrian_crossing,dobro,29,aktivan
516,pedestrian_crossing,dobro,33,aktivan
516,pedestrian_crossing,dobro,34,aktivan
517,pedestrian_crossing,dobro,29,aktivan
517,pedestrian_crossing,dobro,33,aktivan
517,pedestrian_crossing,dobro,34,aktivan
518,pedestrian_crossing,dobro,29,aktivan
518,pedestrian_crossing,dobro,33,aktivan
518,pedestrian_crossing,dobro,34,aktivan
519,pedestrian_crossing,dobro,29,aktivan
519,pedestrian_crossing,dobro,33,aktivan
519,pedestrian_crossing,dobro,34,aktivan
529,pedestrian_crossing,dobro,27,aktivan
529,pedestrian_crossing,dobro,28,aktivan
529,pedestrian_crossing,dobro,30,aktivan
529,pedestrian_crossing,dobro,31,aktivan
530,pedestrian_crossing,dobro,27,aktivan
530,pedestrian_crossing,dobro,28,aktivan
530,pedestrian_crossing,dobro,30,aktivan
530,pedestrian_crossing,dobro,31,aktivan
531,pedestrian_crossing,dobro,27,aktivan
531,pedestrian_crossing,dobro,28,aktivan
531,pedestrian_crossing,dobro,30,aktivan
531,pedestrian_crossing,dobro,31,aktivan
532,pedestrian_crossing,dobro,27,aktivan
532,pedestrian_crossing,dobro,28,aktivan
532,pedestrian_crossing,dobro,30,aktivan
532,pedestrian_crossing,dobro,31,aktivan
550,pedestrian_crossing,dobro,32,aktivan
550,pedestrian_crossing,dobro,38,aktivan
551,pedestrian_crossing,dobro,32,aktivan
551,pedestrian_crossing,dobro,38,aktivan
552,pedestrian_crossing,dobro,29,aktivan
552,pedestrian_crossing,dobro,33,aktivan
552,pedestrian_crossing,dobro,34,aktivan
556,pedestrian_crossing,dobro,35,aktivan
556,pedestrian_crossing,dobro,36,aktivan
557,pedestrian_crossing,dobro,35,aktivan
557,pedestrian_crossing,dobro,36,aktivan
558,pedestrian_crossing,dobro,35,aktivan
558,pedestrian_crossing,dobro,36,aktivan
559,pedestrian_crossing,dobro,35,aktivan
559,pedestrian_crossing,dobro,36,aktivan
560,pedestrian_crossing,dobro,35,aktivan
560,pedestrian_crossing,dobro,36,aktivan
564,pedestrian_crossing,dobro,37,aktivan
564,pedestrian_crossing,dobro,45,aktivan
564,pedestrian_crossing,dobro,46,aktivan
564,pedestrian_crossing,dobro,47,aktivan
565,pedestrian_crossing,dobro,37,aktivan
565,pedestrian_crossing,dobro,45,aktivan
565,pedestrian_crossing,dobro,46,aktivan
565,pedestrian_crossing,dobro,47,aktivan
566,pedestrian_crossing,dobro,37,aktivan
566,pedestrian_crossing,dobro,45,aktivan
566,pedestrian_crossing,dobro,46,aktivan
566,pedestrian_crossing,dobro,47,aktivan
567,pedestrian_crossing,dobro,37,aktivan
567,pedestrian_crossing,dobro,45,aktivan
567,pedestrian_crossing,dobro,46,aktivan
567,pedestrian_crossing,dobro,47,aktivan
569,pedestrian_crossing,dobro,32,aktivan
569,pedestrian_crossing,dobro,38,aktivan
574,speed_camera,dobro,41,aktivan
575,speed_camera,dobro,41,aktivan
575,speed_camera,dobro,42,aktivan
575,speed_camera,dobro,43,aktivan
576,pedestrian_crossing,dobro,39,aktivan
576,pedestrian_crossing,dobro,40,aktivan
576,pedestrian_crossing,dobro,44,aktivan
577,pedestrian_crossing,dobro,39,aktivan
577,pedestrian_crossing,dobro,40,aktivan
577,pedestrian_crossing,dobro,44,aktivan
577,pedestrian_crossing,dobro,168,aktivan
578,pedestrian_crossing,dobro,39,aktivan
578,pedestrian_crossing,dobro,40,aktivan
578,pedestrian_crossing,dobro,44,aktivan
579,pedestrian_crossing,dobro,39,aktivan
579,pedestrian_crossing,dobro,40,aktivan
579,pedestrian_crossing,dobro,44,aktivan
580,pedestrian_crossing,dobro,39,aktivan
580,pedestrian_crossing,dobro,40,aktivan
580,pedestrian_crossing,dobro,168,aktivan
581,pedestrian_crossing,dobro,39,aktivan
581,pedestrian_crossing,dobro,40,aktivan
581,pedestrian_crossing,dobro,44,aktivan
581,pedestrian_crossing,dobro,168,aktivan
582,pedestrian_crossing,dobro,41,aktivan
582,pedestrian_crossing,dobro,42,aktivan
582,pedestrian_crossing,dobro,43,aktivan
583,pedestrian_crossing,dobro,41,aktivan
583,pedestrian_crossing,dobro,42,aktivan
583,pedestrian_crossing,dobro,43,aktivan
584,pedestrian_crossing,dobro,41,aktivan
584,pedestrian_crossing,dobro,42,aktivan
584,pedestrian_crossing,dobro,43,aktivan
585,pedestrian_crossing,dobro,41,aktivan
585,pedestrian_crossing,dobro,42,aktivan
585,pedestrian_crossing,dobro,43,aktivan
586,pedestrian_crossing,dobro,41,aktivan
586,pedestrian_crossing,dobro,42,aktivan
586,pedestrian_crossing,dobro,43,aktivan
587,pedestrian_crossing,dobro,41,aktivan
587,pedestrian_crossing,dobro,42,aktivan
587,pedestrian_crossing,dobro,43,aktivan
588,pedestrian_crossing,dobro,39,aktivan
588,pedestrian_crossing,dobro,40,aktivan
588,pedestrian_crossing,dobro,44,aktivan
588,pedestrian_crossing,dobro,168,aktivan
589,pedestrian_crossing,dobro,39,aktivan
589,pedestrian_crossing,dobro,40,aktivan
589,pedestrian_crossing,dobro,44,aktivan
589,pedestrian_crossing,dobro,168,aktivan
590,pedestrian_crossing,dobro,39,aktivan
590,pedestrian_crossing,dobro,40,aktivan
590,pedestrian_crossing,dobro,44,aktivan
590,pedestrian_crossing,dobro,168,aktivan
591,pedestrian_crossing,dobro,40,aktivan
592,pedestrian_crossing,dobro,39,aktivan
592,pedestrian_crossing,dobro,40,aktivan
592,pedestrian_crossing,dobro,44,aktivan
592,pedestrian_crossing,dobro,168,aktivan
593,pedestrian_crossing,dobro,39,aktivan
593,pedestrian_crossing,dobro,40,aktivan
593,pedestrian_crossing,dobro,44,aktivan
593,pedestrian_crossing,dobro,168,aktivan
594,pedestrian_crossing,dobro,39,aktivan
594,pedestrian_crossing,dobro,44,aktivan
594,pedestrian_crossing,dobro,168,aktivan
595,pedestrian_crossing,dobro,39,aktivan
595,pedestrian_crossing,dobro,40,aktivan
595,pedestrian_crossing,dobro,44,aktivan
595,pedestrian_crossing,dobro,168,aktivan
596,pedestrian_crossing,dobro,40,aktivan
596,pedestrian_crossing,dobro,44,aktivan
596,pedestrian_crossing,dobro,168,aktivan
614,pedestrian_crossing,dobro,37,aktivan
614,pedestrian_crossing,dobro,45,aktivan
614,pedestrian_crossing,dobro,46,aktivan
614,pedestrian_crossing,dobro,47,aktivan
615,pedestrian_crossing,dobro,37,aktivan
615,pedestrian_crossing,dobro,45,aktivan
615,pedestrian_crossing,dobro,46,aktivan
615,pedestrian_crossing,dobro,47,aktivan
616,pedestrian_crossing,dobro,37,aktivan
616,pedestrian_crossing,dobro,45,aktivan
616,pedestrian_crossing,dobro,46,aktivan
616,pedestrian_crossing,dobro,47,aktivan
617,pedestrian_crossing,dobro,37,aktivan
617,pedestrian_crossing,dobro,45,aktivan
617,pedestrian_crossing,dobro,46,aktivan
617,pedestrian_crossing,dobro,47,aktivan
618,pedestrian_crossing,dobro,37,aktivan
618,pedestrian_crossing,dobro,45,aktivan
618,pedestrian_crossing,dobro,46,aktivan
618,pedestrian_crossing,dobro,47,aktivan
619,pedestrian_crossing,dobro,37,aktivan
619,pedestrian_crossing,dobro,45,aktivan
619,pedestrian_crossing,dobro,46,aktivan
619,pedestrian_crossing,dobro,47,aktivan
620,pedestrian_crossing,dobro,37,aktivan
620,pedestrian_crossing,dobro,45,aktivan
620,pedestrian_crossing,dobro,46,aktivan
620,pedestrian_crossing,dobro,47,aktivan
635,pedestrian_crossing,dobro,37,aktivan
635,pedestrian_crossing,dobro,45,aktivan
635,pedestrian_crossing,dobro,46,aktivan
635,pedestrian_crossing,dobro,47,aktivan
636,pedestrian_crossing,dobro,37,aktivan
636,pedestrian_crossing,dobro,45,aktivan
636,pedestrian_crossing,dobro,46,aktivan
636,pedestrian_crossing,dobro,47,aktivan
637,pedestrian_crossing,dobro,37,aktivan
637,pedestrian_crossing,dobro,45,aktivan
637,pedestrian_crossing,dobro,46,aktivan
637,pedestrian_crossing,dobro,47,aktivan
638,pedestrian_crossing,dobro,37,aktivan
638,pedestrian_crossing,dobro,45,aktivan
638,pedestrian_crossing,dobro,46,aktivan
638,pedestrian_crossing,dobro,47,aktivan
639,pedestrian_crossing,dobro,37,aktivan
639,pedestrian_crossing,dobro,45,aktivan
639,pedestrian_crossing,dobro,46,aktivan
639,pedestrian_crossing,dobro,47,aktivan
640,pedestrian_crossing,dobro,47,aktivan
641,pedestrian_crossing,dobro,47,aktivan
642,pedestrian_crossing,dobro,47,aktivan
643,pedestrian_crossing,dobro,47,aktivan
653,pedestrian_crossing,dobro,48,aktivan
656,pedestrian_crossing,dobro,48,aktivan
657,pedestrian_crossing,dobro,48,aktivan
659,pedestrian_crossing,dobro,48,aktivan
661,pedestrian_crossing,dobro,48,aktivan
662,pedestrian_crossing,dobro,48,aktivan
663,pedestrian_crossing,dobro,48,aktivan
664,pedestrian_crossing,dobro,48,aktivan
665,pedestrian_crossing,dobro,49,aktivan
665,pedestrian_crossing,dobro,50,aktivan
665,pedestrian_crossing,dobro,51,aktivan
665,pedestrian_crossing,dobro,368,aktivan
686,pedestrian_crossing,dobro,49,aktivan
686,pedestrian_crossing,dobro,50,aktivan
686,pedestrian_crossing,dobro,51,aktivan
686,pedestrian_crossing,dobro,368,aktivan
687,pedestrian_crossing,dobro,49,aktivan
687,pedestrian_crossing,dobro,50,aktivan
687,pedestrian_crossing,dobro,51,aktivan
687,pedestrian_crossing,dobro,368,aktivan
688,pedestrian_crossing,dobro,49,aktivan
688,pedestrian_crossing,dobro,50,aktivan
688,pedestrian_crossing,dobro,51,aktivan
688,pedestrian_crossing,dobro,368,aktivan
689,pedestrian_crossing,dobro,49,aktivan
689,pedestrian_crossing,dobro,50,aktivan
689,pedestrian_crossing,dobro,51,aktivan
689,pedestrian_crossing,dobro,368,aktivan
690,pedestrian_crossing,dobro,49,aktivan
690,pedestrian_crossing,dobro,50,aktivan
690,pedestrian_crossing,dobro,51,aktivan
690,pedestrian_crossing,dobro,368,aktivan
695,pedestrian_crossing,dobro,52,aktivan
695,pedestrian_crossing,dobro,53,aktivan
695,pedestrian_crossing,dobro,54,aktivan
696,pedestrian_crossing,dobro,52,aktivan
696,pedestrian_crossing,dobro,53,aktivan
696,pedestrian_crossing,dobro,54,aktivan
712,stop,dobro,58,aktivan
716,pedestrian_crossing,dobro,59,aktivan
717,pedestrian_crossing,dobro,59,aktivan
718,pedestrian_crossing,dobro,59,aktivan
728,pedestrian_crossing,dobro,60,aktivan
729,pedestrian_crossing,dobro,60,aktivan
732,pedestrian_crossing,dobro,61,aktivan
733,pedestrian_crossing,dobro,61,aktivan
736,pedestrian_crossing,dobro,61,aktivan
